user_id,timestamp,event_type,device_type,product_id,price
3c6cb32e-ec54-46ce-a6de-cabb75827803,2026-02-07 10:32:28.983900,product_view,web,27,445.5923008634531
3f9ac527-7490-4648-a293-c353d14dc203,2026-02-07 10:32:28.983900,purchase,mobile,5,391.92824015910884
f13cc1a0-6a1d-49cd-a4cc-9828f852410d,2026-02-07 10:32:28.983900,user_signup,web,83,331.7081320377414
1e3058bc-09ac-4cf9-9043-88c57cc34abc,2026-02-07 10:32:28.983900,purchase,mobile,14,392.58687336540345
4d85e07d-2d1e-4cdb-9b92-5d3b77098a1b,2026-02-07 10:32:28.983900,product_view,web,100,497.4003759718859
4993b0ac-ca59-465b-9f39-c3ddde789c07,2026-02-07 10:32:28.983900,purchase,web,87,220.16984249938028
ec2703e8-1ae2-410d-b556-46c8c9b294e9,2026-02-07 10:32:28.983900,user_signup,mobile,22,417.25996448989974
f4455157-34c3-4207-8d75-27e922dfc29e,2026-02-07 10:32:28.983900,product_view,mobile,24,272.5726961065586
679cc01e-e5d5-481c-b14a-f16b4a26e2d7,2026-02-07 10:32:28.983900,purchase,web,83,194.4830560754351
3356b09d-dea5-4efd-9dfe-4a3f4b064629,2026-02-07 10:32:28.983900,add_to_cart,web,20,421.1262401134836
7fa1310c-48ad-405d-967a-635af0955251,2026-02-07 10:32:28.983900,add_to_cart,web,93,274.9525087652112
6d8cb35c-b713-4581-9f4c-d267160439f5,2026-02-07 10:32:28.983900,user_signup,web,78,320.44167355477214
b343ddce-f0c9-4bb9-990b-b9aa730eded7,2026-02-07 10:32:28.983900,product_view,mobile,38,51.24752667540486
bb14b512-9f18-4b66-9970-a93f531f0af8,2026-02-07 10:32:28.983900,user_signup,web,1,463.96556551109865
f71e9fbc-ef3a-408d-8f21-6867a4c2efab,2026-02-07 10:32:28.983900,add_to_cart,web,47,184.58942771955827
052de86d-2a91-4b9a-8e71-1cf4f6e16353,2026-02-07 10:32:28.983900,product_view,mobile,45,112.79282152617411
6199a260-9559-4688-a57e-9d47a7e689dc,2026-02-07 10:32:28.983900,user_signup,mobile,35,304.93352097278887
83fdaf22-351a-48f6-ba6c-5b848b54a7f6,2026-02-07 10:32:28.983900,user_signup,web,63,316.5789561729288
ae6a9133-dcad-4c40-8f51-98f5f2a6b1ed,2026-02-07 10:32:28.983900,product_view,mobile,31,256.13831323801037
170e9dd0-73c0-4260-ab8f-9865ac05538e,2026-02-07 10:32:28.983900,purchase,mobile,32,231.740262685233
a12c5a2d-48fd-4464-815d-7043bf4f2dd0,2026-02-07 10:32:28.983900,product_view,mobile,58,470.54748390849613
9baca40f-9d01-486f-b7a6-d75bd70e6873,2026-02-07 10:32:28.983900,purchase,web,60,81.60999346384035
60f1068e-3c35-4871-8767-dd8858a73b71,2026-02-07 10:32:28.983900,purchase,web,22,274.140273102492
4127b3e9-a686-4b68-915c-32053255b433,2026-02-07 10:32:28.983900,product_view,web,83,408.12434406141506
0125dc9d-55b2-422f-820c-3d6ec0934567,2026-02-07 10:32:28.983900,purchase,mobile,39,195.47528809756673
0567ac7d-adf3-409a-b14d-62d2085217e5,2026-02-07 10:32:28.983900,add_to_cart,mobile,98,54.871309189253125
5740297b-0520-41a6-b354-ef72b272546c,2026-02-07 10:32:28.983900,add_to_cart,mobile,81,356.9834830800084
80979f6f-c188-43fe-9e2e-79400dd08a59,2026-02-07 10:32:28.983900,purchase,web,53,497.8007706175725
99ae1694-80ce-4d1a-b99e-664000dadec9,2026-02-07 10:32:28.983900,purchase,mobile,97,366.957318429975
6c6ad8c9-56ed-4441-8d01-d06266cbc037,2026-02-07 10:32:28.983900,product_view,web,48,28.617102074813744
a6323603-5e3a-4d65-8351-f78e279e1d8c,2026-02-07 10:32:28.983900,user_signup,mobile,5,103.21857639999214
22c61d78-737e-42ce-a7af-74d690ea0b77,2026-02-07 10:32:28.983900,purchase,web,48,116.60662825268068
a4de3530-7385-4e24-9127-29a49cc64d54,2026-02-07 10:32:28.983900,user_signup,mobile,18,40.30927456630991
64c5666e-773b-4d51-9d79-ab17d99382d8,2026-02-07 10:32:28.983900,purchase,mobile,42,356.1647033311213
850ee0bf-2eab-44a3-a6dc-aa469ceeedfc,2026-02-07 10:32:28.983900,user_signup,web,18,423.2157109462884
bcbe1668-00e6-4051-ba1c-e7d7149550ea,2026-02-07 10:32:28.983900,product_view,web,26,442.8399667976382
143e92bd-cf14-4581-b6a8-fd381298cb5e,2026-02-07 10:32:28.983900,purchase,mobile,52,227.65862858942958
3f4cb892-3d7d-48fa-ac54-4dc9cf15ca72,2026-02-07 10:32:28.983900,user_signup,web,63,232.03858785197744
804f94ba-6f65-4616-a4cf-c64a0549c694,2026-02-07 10:32:28.983900,product_view,web,29,343.4257331378302
0227ea22-1592-4da6-86c6-0264d311da63,2026-02-07 10:32:28.983900,user_signup,web,96,259.1255498793954
c22549b0-07a3-419d-8b66-a012e774d928,2026-02-07 10:32:28.983900,purchase,mobile,53,295.7401124688318
4575afef-9f0c-43b7-b782-4b4a092e7967,2026-02-07 10:32:28.983900,purchase,web,55,34.770198547590184
91e57784-3f73-4b94-8491-7077133c94c8,2026-02-07 10:32:28.983900,add_to_cart,web,74,166.3573794063364
2a788988-0bb6-4805-a745-843a64da714b,2026-02-07 10:32:28.983900,purchase,web,10,331.4410256609621
04c10b94-b444-47ff-abb3-532c8d741176,2026-02-07 10:32:28.983900,add_to_cart,web,87,370.2515441239274
98188b8c-8544-447e-9aac-7dac55283f24,2026-02-07 10:32:28.983900,product_view,mobile,19,257.00294839933525
af1f61cd-2093-4128-8455-d692fe96c637,2026-02-07 10:32:28.983900,product_view,web,92,256.0746179200252
b7ba8d4d-a8e0-4e40-ba22-53b0f5ec4425,2026-02-07 10:32:28.983900,add_to_cart,web,30,392.4959517283452
12ecde65-a3c0-4070-9744-26fb9499076c,2026-02-07 10:32:28.983900,add_to_cart,mobile,82,34.13055003639188
422fee18-1908-4f45-b13b-6a5c63437435,2026-02-07 10:32:28.983900,product_view,web,25,45.5732690792931
6047c278-629e-4912-b802-67ef5c1f1c51,2026-02-07 10:32:28.983900,product_view,web,15,256.1451009635854
